Economy_Label,Year,US_at_current_prices_in_millions_Value,US_at_current_prices_MissingValue
Albania,2024,1716,
Algeria,2024,1439,
Angola,2024,-136,
Anguilla,2024,23,
Antigua and Barbuda,2024,289,
Argentina,2024,11431,
Armenia,2024,139,
Aruba,2024,103,
Australia,2024,53454,
Austria,2024,11535,
Azerbaijan,2024,231,
Bahamas,2024,1449,
Bahrain,2024,2478,
Bangladesh,2024,1270,
Barbados,2024,303,
Belarus,2024,1711,
Belgium,2024,-26723,
Belize,2024,166,
Benin,2024,543,
Bermuda,2024,118,
Bhutan,2024,100,
Bolivia (Plurinational State of),2024,247,
Bosnia and Herzegovina,2024,1113,
Botswana,2024,467,
Brazil,2024,59178,
British Virgin Islands,2024,53599,
Brunei Darussalam,2024,26,
Bulgaria,2024,3090,
Burkina Faso,2024,83,
Burundi,2024,32,
Cabo Verde,2024,64,
Cambodia,2024,4395,
Cameroon,2024,925,
Canada,2024,64096,
Cayman Islands,2024,35902,
Central African Republic,2024,40,
Chad,2024,1019,
Chile,2024,11360,
China,2024,116238,
China, Hong Kong SAR,2024,126181,
China, Macao SAR,2024,3531,
China, Taiwan Province of,2024,10926,
Colombia,2024,14234,
Comoros,2024,7,
Congo,2024,604,
Cook Islands,2024,2,
Costa Rica,2024,4322,
Cote d'Ivoire,2024,3802,
Croatia,2024,4377,
Curacao,2024,155,
Cyprus,2024,7386,
Czechia,2024,10165,
"Czechoslovakia,2024,,""Not applicable"""
Dem. People's Rep. of Korea,2024,19,
Dem. Rep. of the Congo,2024,3113,
Denmark,2024,6898,
Djibouti,2024,68,
Dominica,2024,33,
Dominican Republic,2024,4523,
Ecuador,2024,232,
Egypt,2024,46578,
El Salvador,2024,640,
Equatorial Guinea,2024,188,
Eritrea,2024,-28,
Estonia,2024,783,
Eswatini,2024,93,
Ethiopia,2024,3984,
"Ethiopia (...1991),2024,,""Not applicable"""
Fiji,2024,204,
Finland,2024,1848,
France,2024,33736,
French Polynesia,2024,-14,
Gabon,2024,1145,
Gambia,2024,232,
Georgia,2024,1334,
Germany,2024,5716,
Ghana,2024,1669,
Greece,2024,7304,
Grenada,2024,267,
Guatemala,2024,1694,
Guinea,2024,1828,
Guinea-Bissau,2024,27,
Guyana,2024,8630,
Haiti,2024,41,
Honduras,2024,994,
Hungary,2024,5737,
Iceland,2024,189,
India,2024,27556,
Indonesia,2024,24212,
"Indonesia (...2002),2024,,""Not applicable"""
Iran (Islamic Republic of),2024,1449,
Iraq,2024,-7458,
Ireland,2024,-38891,
Israel,2024,16808,
Italy,2024,24726,
Jamaica,2024,156,
Japan,2024,13357,
Jordan,2024,1635,
Kazakhstan,2024,-2550,
Kenya,2024,1503,
Kiribati,2024,2,
Kosovo,2024,927,
Kuwait,2024,614,
Kyrgyzstan,2024,705,
Lao People's Dem. Rep.,2024,988,
Latvia,2024,1211,
Lebanon,2024,1843,
Lesotho,2024,-42,
Liberia,2024,747,
Lithuania,2024,3271,
Luxembourg,2024,105987,
Madagascar,2024,413,
Malawi,2024,220,
Malaysia,2024,11259,
Maldives,2024,806,
Mali,2024,709,
Malta,2024,5371,
Marshall Islands,2024,2,
Mauritania,2024,1531,
Mauritius,2024,681,
Mexico,2024,36872,
Mongolia,2024,2782,
Montenegro,2024,598,
Montserrat,2024,4,
Morocco,2024,1639,
Mozambique,2024,3553,
Myanmar,2024,1095,
Namibia,2024,2063,
Nauru,2024,0,
Nepal,2024,57,
Netherlands (Kingdom of the),2024,9275,
"Netherlands Antilles,2024,,""Not applicable"""
New Caledonia,2024,726,
New Zealand,2024,1651,
Nicaragua,2024,1352,
Niger,2024,526,
Nigeria,2024,1080,
North Macedonia,2024,1358,
Norway,2024,10757,
Oman,2024,8685,
Pakistan,2024,2568,
Palau,2024,69,
Panama,2024,2833,
Papua New Guinea,2024,303,
Paraguay,2024,400,
Peru,2024,5887,
Philippines,2024,8938,
Poland,2024,12740,
Portugal,2024,14059,
Qatar,2024,460,
Republic of Korea,2024,15226,
Republic of Moldova,2024,344,
Romania,2024,6201,
Russian Federation,2024,3346,
Rwanda,2024,819,
Saint Kitts and Nevis,2024,26,
Saint Lucia,2024,217,
Saint Vincent and the Grenadines,2024,68,
Samoa,2024,4,
Sao Tome and Principe,2024,22,
Saudi Arabia,2024,15737,
Senegal,2024,2016,
Serbia,2024,5635,
"Serbia and Montenegro,2024,,""Not applicable"""
Seychelles,2024,299,
Sierra Leone,2024,274,
Singapore,2024,143352,
Sint Maarten (Dutch part),2024,37,
Slovakia,2024,1843,
Slovenia,2024,1296,
Solomon Islands,2024,33,
Somalia,2024,765,
South Africa,2024,2469,
South Sudan,2024,83,
Spain,2024,30543,
Sri Lanka,2024,761,
State of Palestine,2024,162,
"Sudan (...2011),2024,,""Not applicable"""
Suriname,2024,-27,
Sweden,2024,18288,
Switzerland,2024,-60708,
Tajikistan,2024,291,
Thailand,2024,10580,
Timor-Leste,2024,247,
Togo,2024,84,
Tonga,2024,-12,
Trinidad and Tobago,2024,-799,
Tunisia,2024,936,
Turkiye,2024,10591,
Turkmenistan,2024,1645,
Turks and Caicos Islands,2024,44,
Tuvalu,2024,0,
Uganda,2024,3305,
Ukraine,2024,3329,
United Arab Emirates,2024,45632,
United Kingdom,2024,-40003,
United Republic of Tanzania,2024,1718,
United States,2024,278848,
Uruguay,2024,-1735,
Uzbekistan,2024,2836,
Vanuatu,2024,29,
Venezuela (Bolivarian Rep. of),2024,1633,
Viet Nam,2024,20170,
"Yugoslavia, Soc. Fed. Rep. of,2024,,""Not applicable"""
Zambia,2024,1238,
Zimbabwe,2024,597,
